,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Date
86,400147,880,N,4,85,68000.0,2.04,2.04,37.34221,-121.926305,0.665,ML,3,THE ALAMEDA/ 82,DT963,L3-N-37-880-00204,998295,420992,2015_01_10
87,400148,85,N,4,85,68000.0,8.23,8.23,37.250664,-121.912479,0.565,ML,3,Camden Ave rm-n-diag,DT533,L3-N-37-085-00823,998065,420837,2015_01_10
88,400149,101,S,4,85,49670.0,48.59,398.263,37.4118,-122.077964,0.05,ML,3,Shoreline Blvd rm-s-diag,DT767,L3-S-37-101-04859,998203,421357,2015_01_10
89,400150,680,N,4,13,,12.09,43.463,37.873161,-122.043593,0.15,ML,4,3000' S OF Rudgear Rd,DT268,L4-N-28-680-01209,999060,418547,2015_01_10
90,400152,680,N,4,13,17988.0,6.31,37.683,37.805463,-121.990262,0.46,ML,4,2100' S Sycamore Valley Rd,DT253,L4-N-28-680-00631,999317,418457,2015_01_10
91,400153,580,E,4,1,41992.0,15.58,31.612,37.700938,-121.828882,0.4,ML,6,W OF AIRWAY BLVD,DT314,L6-E-33-580-01558,580142,427420,2015_01_10
92,400154,17,N,4,85,44112.0,7.05,19.603,37.226342,-121.975157,0.51,ML,2,Saratoga Ave rm-n-loop,DT163,L2-N-37-017-00705,998003,416972,2015_01_10
93,400156,280,N,4,75,67000.0,2.05,52.011,37.727079,-122.445019,0.56,ML,5,Havelock St,DT007,L5-N-34-280-00205,280277,426336,2015_01_10
94,400158,237,W,4,85,68000.0,8.17,8.222,37.421059,-121.93678,2.57,ML,3,Zanker Rd RM-E-Diag,DT834,L3-W-37-237-00817,998238,418946,2015_01_10
95,400160,101,S,4,85,68000.0,35.64,385.309,37.348392,-121.860589,0.455,ML,4,Alum Rock Ave rm-s-diag,DT775,L4-S-37-101-03564,998223,424528,2015_01_10
96,400162,92,W,4,81,68252.0,11.51,12.236,37.552555,-122.307411,0.565,ML,2,W of Delaware St.,DT034,L2-W-35-092-01151,092132,418146,2015_01_10
97,400164,84,W,4,1,26000.0,2.11,32.17,37.530179,-122.093116,0.71,ML,3,3300' W OF TOLL PLAZA,DT825,L3-W-33-084-00211,284106,418836,2015_01_10
98,400168,101,N,4,85,77000.0,43.83,393.467,37.391166,-121.995524,0.17,ML,4,Lawrence Expwy. rm-n-loop,DT953,L4-N-37-101-04383,998181,422668,2015_01_10
99,400169,680,S,4,13,83346.0,11.94,43.348,37.871257,-122.042369,0.145,ML,4,3300' N of Livorna Rd,DT536,L4-S-28-680-01194,681248,421540,2015_01_10
100,400171,24,E,4,13,39122.0,4.53,8.878,37.891457,-122.152067,0.335,ML,4,ACALANES RD,DT440,L4-E-28-024-00453,024139,418355,2015_01_10
101,400172,101,S,4,85,68000.0,40.59,390.263,37.376264,-121.939712,0.975,ML,4,De La Cruz Blvd rm-s-diag,DT715,L4-S-37-101-04059,998155,424546,2015_01_10
102,400174,85,N,4,85,49670.0,23.48,23.656,37.403686,-122.06976,0.734,ML,3,oppo Moffett Blvd rm-s-loop,DT614,L3-N-37-085-02348,998094,420887,2015_01_10
103,400176,80,W,4,1,6000.0,5.85,11.16,37.866963,-122.303994,0.25,ML,5,University Ave rm-w-loop,DT6A7,L5-W-33-080-00585,997003,427295,2015_01_10
104,400178,87,N,4,85,68000.0,1.53,1.53,37.276988,-121.863502,0.255,ML,2,Capitol Expwy  rm-n-diag,DT637,L2-N-37-087-00153,998099,417004,2015_01_10
105,400180,880,N,4,1,,19.04,29.267,37.674405,-122.114201,0.325,ML,5,900' S of Hacienda Ave,DT397,L5-N-33-880-01904,882233,426245,2015_01_10
106,400181,101,N,4,85,68000.0,27.02,376.291,37.244125,-121.772528,0.385,ML,4,Bernal Rd rm-n-loop,DT769,L4-N-37-101-02702,998215,417048,2015_01_10
107,400182,80,E,4,13,60620.0,2.05,15.383,37.925458,-122.320648,0.31,ML,6,E of Cutting Blvd,DT166,L6-E-28-080-00205,801166,427388,2015_01_10
108,400183,101,N,4,81,8310.0,24.81,426.997,37.689942,-122.390669,0.065,ML,4,2400' N of Sierra Point Prkwy,DT300,L4-N-35-101-02481,102369,422404,2015_01_10
