trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum,in_Zone
9745526,29711,8990,1218190,work,2,FALSE,2,Home,127,195,NA,17,DRIVEALONEFREE,-1.719322762867308,TRUE
11180193,34085,10188,1397524,work,1,TRUE,1,work,173,92,NA,6,DRIVEALONEFREE,-2.3253304088108027,TRUE
11180129,34085,10188,1397516,univ,1,TRUE,1,univ,82,92,NA,10,DRIVEALONEFREE,-0.5780390170001667,TRUE
11180197,34085,10188,1397524,work,1,FALSE,1,Home,92,173,NA,10,DRIVEALONEFREE,-2.3264304141934073,TRUE
11180133,34085,10188,1397516,univ,1,FALSE,1,Home,92,82,NA,15,DRIVEALONEFREE,-0.5769983954963233,TRUE
12433393,37906,11410,1554174,othmaint,1,TRUE,1,othmaint,1060,1026,NA,10,DRIVEALONEFREE,-0.012324330572598755,TRUE
12433397,37906,11410,1554174,othmaint,1,FALSE,2,othmaint,981,1060,13.729756375718162,13,DRIVEALONEFREE,0.11224301381032137,TRUE
12433398,37906,11410,1554174,othmaint,2,FALSE,2,Home,1026,981,NA,13,TNC_SINGLE,-0.06537335767906227,TRUE
13107801,39962,12399,1638475,shopping,1,TRUE,1,shopping,746,1023,NA,16,TNC_SINGLE,-0.11467108740348629,TRUE
13107805,39962,12399,1638475,shopping,1,FALSE,2,othmaint,748,746,15.175652145198173,16,TNC_SINGLE,0.6280462173875567,TRUE
13107806,39962,12399,1638475,shopping,2,FALSE,2,Home,1023,748,NA,17,WALK_LOC,0.3240659172751867,TRUE
13108177,39963,12399,1638522,work,1,TRUE,1,work,2232,1023,NA,9,SHARED2FREE,-0.8659622623207603,TRUE
13107897,39963,12399,1638487,atwork,1,TRUE,1,atwork,2236,2232,NA,12,TNC_SINGLE,0.5550973567728874,TRUE
13107901,39963,12399,1638487,atwork,1,FALSE,1,Work,2232,2236,NA,13,TNC_SINGLE,0.5550973567728874,TRUE
13108181,39963,12399,1638522,work,1,FALSE,3,shopping,1630,2232,9.271051478590364,18,SHARED2FREE,-0.539718548408721,TRUE
13108182,39963,12399,1638522,work,2,FALSE,3,eatout,1138,1630,14.156786985837,18,SHARED2FREE,0.09668633833857718,TRUE
13108183,39963,12399,1638522,work,3,FALSE,3,Home,1023,1138,NA,18,SHARED2FREE,0.37788704076363333,TRUE
13108393,39964,12399,1638549,othdiscr,1,TRUE,2,othdiscr,837,1023,11.247937046248579,8,WALK_LRF,-0.4035901393829783,TRUE
13108394,39964,12399,1638549,othdiscr,2,TRUE,2,othdiscr,768,837,NA,8,TNC_SINGLE,-1.4070562348532434,TRUE
13108397,39964,12399,1638549,othdiscr,1,FALSE,1,Home,1023,768,NA,14,TNC_SINGLE,-1.7425144614980619,TRUE
13994321,42665,13589,1749290,othdiscr,1,TRUE,1,othdiscr,939,1033,NA,8,DRIVEALONEFREE,-0.03226255408186678,TRUE
13994325,42665,13589,1749290,othdiscr,1,FALSE,1,Home,1033,939,NA,11,DRIVEALONEFREE,-0.055878816418981056,TRUE
13994169,42665,13589,1749271,eatout,1,TRUE,1,eatout,1057,1033,NA,18,DRIVEALONEFREE,-0.045909713256186,TRUE
13994173,42665,13589,1749271,eatout,1,FALSE,1,Home,1033,1057,NA,21,DRIVEALONEFREE,0.012114834489870187,TRUE
13994761,42666,13589,1749345,work,1,TRUE,1,work,660,1033,NA,8,DRIVEALONEFREE,-0.7133754849158201,TRUE
13994449,42666,13589,1749306,atwork,1,TRUE,1,atwork,660,660,NA,12,WALK,-0.428175276412139,TRUE
